row_index,hyperlinks
29,anda
46,i
70,anda
72,i
81,wan
85,i
87,i
151,abadiah
180,berabal
227,berabdas
248,abdu
255,mengaben | pengabenan
279,abaimana
295,mengabis
313,abjad
332,hablur
386,abrab
398,seabrek
410,abrab
441,mengabsorb
445,absorpsi
518,mengabuk
556,beracah-acah | mengacah
557,mengacah
567,mengacan
568,acah
595,mengacarakan
611,acatan
613,mengacau
644,acik
657,aco-acoan | acoan | mengaco
666,acuan | mengacu
667,acuan | mengacu | mengacu-acu | mengacukan | pengacuan
679,acuman | mengacum | pengacum
682,acungan | mengacung | mengacung-acungkan | mengacungi | mengacungkan
683,mengacung
725,adakalanya
761,mengadak
784,azan
785,adnan
823,mengadar
836,mengadat
901,beradeh
903,adik
916,adendum
919,adenina
938,adhesi
942,azan
1001,adinda
1063,auditorium
1076,adjektiva
1107,administrator
1143,advertensi
1145,advis
1146,alpukat
1166,astringen
1169,beradu
1175,memperadudombakan | mengadu domba | mengadudombakan | pengadu domba | pengadudombaan | teradu domba
1188,mengadu untung | pengadu untung
1218,adven
1237,alpukat
1242,azab
1243,azan
1318,estetika
1319,etiologi
1350,afdal
1360,afektivitas
1367,aferesis
1434,afwah
1482,agamawi
1499,beragan
1522,agal
1624,aglaonema
1708,agresivitas
1714,agrobisnis
1767,gung
1795,akhirat
1807,akhir
1808,akhirat
1815,akhlak
1888,ahlulkitab
1929,ai
2088,mani
2218,azab
2223,ajakan | mengajak | pengajak | terajak
2248,ajek
2250,adjektiva
2251,adjektiva
2286,azimat
2302,arja
2303,ajuan | mengajukan | pengajuan
2308,adjuvan
2312,mengajuk
2329,jung
2330,ajun
2333,adjuster
2342,ahad
2506,teriba
2510,tuba
2537,kaskaya
2550,akikah
2561,akhirat
2577,akhirulkalam
2583,akhlak
2584,ikhlas
2585,ahli
2586,ahli
2591,ikhwan
2629,aklimatisasi
2641,mengakod
2651,mengakomodir | terakomodir
2655,akur
2768,pegon
2836,aksesori
2890,akta
2897,aktivitas
2924,aktif
2984,aktual
3074,akupunktur
3118,al-qur'an
3165,sealak-alak
