tag,tag_rename,type,color
Nomina,Nomina,partOfSpeech,#3386BF
Verba,Verba,partOfSpeech,#C25C1E
Adjektiva,Adjektiva,partOfSpeech,#179472
Adverbia,Adverbia,partOfSpeech,#D9A14A
Partikel,Partikel,partOfSpeech,#6ABAE8
Numeralia,Numeralia,partOfSpeech,#F5C710
Pronomina,Pronomina,partOfSpeech,#C276A6
kiasan,Kiasan,default,#6F4BC3
Cakapan,Cakapan,default,#F25AA6
prakategorial,Prakategorial,default,#8C9D9D
akronim,Akronim,default,#0E7C13
Arkais,Arkais,default,#D92626
singkatan,Singkatan,default,#7BAA2E
Kimia,Kimia,default,#626273
Jawa,Jawa,default,#626273
Kedokteran dan Fisiologi,Kedokteran dan Fisiologi,default,#626273
Psikologi,Psikologi,default,#626273
Biologi,Biologi,default,#626273
Linguistik,Linguistik,default,#626273
Ungkapan,Ungkapan,default,#626273
Olahraga,Olahraga,default,#626273
Klasik,Klasik,default,#626273
Minangkabau,Minangkabau,default,#626273
Arab,Arab,default,#626273
Komputer,Komputer,default,#626273
Sunda,Sunda,default,#626273
Fisika,Fisika,default,#626273
Hukum,Hukum,default,#626273
Kesenian,Kesenian,default,#626273
Meteorologi,Meteorologi,default,#626273
Botani,Botani,default,#626273
Ekonomi dan Keuangan,Ekonomi dan Keuangan,default,#626273
Melayu Jakarta,Melayu Jakarta,default,#626273
-,-,default,#626273
Agama Islam,Agama Islam,default,#626273
Geografi dan Geologi,Geografi dan Geologi,default,#626273
Hidrometeorologi,Hidrometeorologi,default,#626273
Matematika,Matematika,default,#626273
Musik,Musik,default,#626273
Tata Busana,Tata Busana,default,#626273
Latin,Latin,default,#626273
Batak,Batak,default,#626273
Pelayaran,Pelayaran,default,#626273
Sastra,Sastra,default,#626273
Ilmu Gizi:,Ilmu Gizi,default,#626273
Madura,Madura,default,#626273
Bali,Bali,default,#626273
Ilmu Komunikasi,Ilmu Komunikasi,default,#626273
Inggris,Inggris,default,#626273
Zoologi,Zoologi,default,#626273
kependekan,Kependekan,default,#626273
Anatomi,Anatomi,default,#626273
Tata Boga,Tata Boga,default,#626273
Melayu Riau,Melayu Riau,default,#626273
Agama Katolik,Agama Katolik,default,#626273
Prancis,Prancis,default,#626273
Gayo,Gayo,default,#626273
Pertanian,Pertanian,default,#626273
Astronomi,Astronomi,default,#626273
Belanda,Belanda,default,#626273
Politik dan Pemerintahan,Politik dan Pemerintahan,default,#626273
Aceh,Aceh,default,#626273
Peternakan,Peternakan,default,#626273
Antropologi,Antropologi,default,#626273
Kemiliteran,Kemiliteran,default,#626273
Gorontalo,Gorontalo,default,#626273
Agama Kristen,Agama Kristen,default,#626273
Ilmu Tanah,Ilmu Tanah,default,#626273
Banjar,Banjar,default,#626273
Cina,Cina,default,#626273
